Session;Instrument;Reference price;Last price;+Intraday high;+ Intraday low;Number of shares traded;Capitalisation
13/08/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
12/08/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
11/08/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
10/08/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
07/08/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
06/08/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
05/08/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
04/08/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
03/08/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
29/07/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
28/07/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
27/07/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
24/07/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
23/07/2020;ZELLIDJA S.A;0,00;75,08;-;-;0;43009502,90
22/07/2020;ZELLIDJA S.A;75,08;75,08;75,08;75,08;102;43009502,90
21/07/2020;ZELLIDJA S.A;76,61;76,61;76,61;76,61;2;43885961,90
20/07/2020;ZELLIDJA S.A;78,17;78,17;78,17;78,17;212;44779606,30
17/07/2020;ZELLIDJA S.A;79,76;79,76;79,76;79,76;1;45690436,20
16/07/2020;ZELLIDJA S.A;81,38;81,38;81,38;81,38;1;46618451,60
15/07/2020;ZELLIDJA S.A;83,04;83,04;83,04;83,04;1;47569381,00
14/07/2020;ZELLIDJA S.A;84,73;84,73;84,73;84,73;1;48537495,80
13/07/2020;ZELLIDJA S.A;86,45;86,45;86,45;86,45;3;49522796,10
10/07/2020;ZELLIDJA S.A;88,21;88,21;88,21;88,21;2;50531010,30
09/07/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
08/07/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
07/07/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
06/07/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
03/07/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
02/07/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
01/07/2020;ZELLIDJA S.A;0,00;90,00;-;-;0;51556410,00
